nama barang,kategori,harga,date,user,varian,rating,review,bantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,1 bulan lalu,Y***v,Galaxy White - 42,bintang 5,Warna: Pink,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,3 bulan lalu,K***c,Galaxy White - 38,bintang 5,Bagus sdh 2x co,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,6 bulan lalu,T***S,Galaxy White - 41,bintang 5,Pas sesuai,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Galaxy White - Galaxy White, 39",futsal,Rp549.000,4 bulan lalu,h***n,Galaxy White - 41,bintang 5,Oke,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Sky Blue - Sky Blue, 37",futsal,Rp549.000,4 bulan lalu,I***h,Sky Blue - 39,bintang 5,"Keren,,,harga lebih murah dr toko offline",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Sky Blue - Sky Blue, 37",futsal,Rp549.000,6 bulan lalu,T***S,Sky Blue - 37,bintang 5,"BAGUSS DEHH, SUKAA BANGETT, pokoknya jangan ragu' beli disini warna dan uk nya sesuai ekspektasi kok🫰🏻🫰🏻🫰🏻🫰🏻",0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Sky Blue - Sky Blue, 37",futsal,Rp549.000,2 bulan lalu,Q***p,Sky Blue - 43,bintang 5,Ssuai yg di lyar,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Celestial IN Sky Blue - Sky Blue, 37",futsal,Rp549.000,1 minggu lalu,P***v,Sky Blue - 44,bintang 5,Mantap,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Hyperion IN Cloud Blue Ortrange - Cloud Blue Ortrange, 37",futsal,Rp599.000,4 bulan lalu,R***F,Cloud Blue Ortrange - 37,bintang 4,sepatu nya baguss miness nya kotak hancur,0 orang terbantu
"Ortuseight Sepatu Futsal Catalyst Hyperion IN Cloud Blue Ortrange - Cloud Blue Ortrange, 37",futsal,Rp599.000,3 minggu lalu,S***n,Cloud Blue Ortrange - 37,bintang 5,pengiriman cepat. barangnya keren. mantappp....,0 orang terbantu
