nama barang,kategori,harga,date,user,varian,rating,review,bantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,10 bulan lalu,*****,Abu Oren - 43,bintang 5,,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,10 bulan lalu,z***a,Abu Oren - 42,bintang 3,Lumayan,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,j****,Navy Ijo - 41,bintang 5,.,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,11 bulan lalu,R***r,Abu Oren - 39,bintang 5,Keren mantapp semoga awet,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,7 bulan lalu,a****,Navy Ijo - 41,bintang 1,,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,10 bulan lalu,M***T,Hitam Ungu - 41,bintang 4,"Bentuk dan ukuran: Size Sesuai 41 Warna: Sesuai gambar Banyak Bagian Printing Warnanya tidak lengkap dan banyak cacat dibagian midsole warna ungu dan N. Belum tes pakai,",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 minggu lalu,G***p,Hitam Ungu - 43,bintang 5,Bentuk dan ukuran: Desain sepatu oke Warna: Menarik Daya tahan pakai: Nanti kita tes Harga terjangkau untuk sepatu Running Desain bagus lem rapi,1 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,1****,Hitam Ungu - 40,bintang 5,"bagus,memuasakan,sepatu nya bagus,😆😆🤩🤩 Bentuk dan ukuran: secara bentuk bagus dan ukuran nya pas di kaki😍😍 Aroma: aroma lebih ke lem Warna: warna nya mencolok dan k... ",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,R***S,Hitam Ungu - 43,bintang 5,Mantap sepatunya bagus cuma ukurannya aja agak sempit padahal udah ditambah 1 size empuk mantap,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,T***S,Hitam Ungu - 44,bintang 2,M*NYET INI GW MINTA UK44 MALAH KEKECILAN TAHUN MAREN UK SEPATU GW 43 UDH LONGGAR DI DPN LAH INI UK44 NGPRES BANGET KAYAK UK42  NAJZIs gedean juga yg sepatu Nike gw padaha... ,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,J***y,Hitam Ungu - 43,bintang 4,"bagian belakangnya kurang simetris,dan jahitannya kurang rapi,tapi selebihnya masih oke,semoga bisa diperbaiki menjadi lebih baik lagi🙏 Bentuk dan ukuran: pas",0 orang terbantu
